"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.603526625E0,-6.067414485E-2,-5.256704430E-2,-1.250801289E-1
2.613469625E0,-6.164675608E-2,-9.422722243E-2,-1.422580791E-1
2.623412625E0,-4.873288795E-2,-1.322057652E-1,-1.565106672E-1
2.633355625E0,-4.115504265E-2,-1.393684216E-1,-1.468218309E-1
2.643298625E0,-4.361825533E-2,-1.342550681E-1,-1.397911388E-1
2.653241625E0,-4.725851253E-2,-1.162912156E-1,-1.271535516E-1
2.663183625E0,-3.363873929E-2,-9.109333411E-2,-1.299017429E-1
2.673126625E0,-4.254741088E-2,-3.198145565E-2,-8.706445634E-2
2.683069625E0,-5.368160583E-2,1.866259474E-2,-4.374594390E-2
2.693012625E0,-6.974748865E-2,5.995968819E-2,-1.078787899E-1
2.702955625E0,-6.578614622E-2,1.038228688E-1,-1.461365372E-1
2.712898625E0,-3.848118402E-2,1.325159600E-1,-1.434468180E-1
2.722841625E0,-1.493444659E-2,1.315153186E-1,-1.244164699E-1
2.732784625E0,-1.472621262E-3,1.126911215E-1,-1.109041393E-1
2.742727625E0,-1.677288428E-2,7.986759368E-2,-6.811655402E-2
2.752669625E0,-2.843873732E-2,4.432113177E-2,-4.994925499E-2
2.762612625E0,-4.319900997E-2,3.409251977E-2,-5.770792544E-2
2.772555625E0,-5.376222432E-2,-1.148868240E-3,-7.643070996E-2
2.782498625E0,-5.619802818E-2,-2.513253886E-2,-1.081781673E-1
2.792441625E0,-6.242012344E-2,-5.102448029E-2,-1.356858087E-1
2.802384625E0,-5.917374931E-2,-6.890066564E-2,-1.398601359E-1
2.812327625E0,-4.738313131E-2,-6.553650666E-2,-1.134038240E-1
2.822270625E0,-4.969080806E-2,-5.096257746E-2,-7.300482631E-2
2.832212625E0,-5.287812531E-2,-3.162609112E-2,-8.000218928E-2
2.842155625E0,-5.549855500E-2,-1.418070395E-2,-1.017760509E-1
2.852098625E0,-7.246849045E-2,1.005684547E-2,-1.175436527E-1
2.862041625E0,-8.853905104E-2,2.894700882E-2,-1.039167166E-1
2.871984625E0,-9.466861412E-2,1.999926824E-2,-9.651063323E-2
2.881927625E0,-9.139505044E-2,1.568047822E-2,-1.047832739E-1
2.891870625E0,-7.984621480E-2,1.453325450E-2,-1.235575140E-1
2.901813625E0,-7.220229596E-2,1.289581485E-2,-1.370306683E-1
2.911756625E0,-4.756878041E-2,-8.154415030E-3,-1.496331722E-1
2.921698625E0,-3.495531298E-2,-1.952092946E-2,-1.070128173E-1
2.931641625E0,-1.053039685E-2,-2.975688245E-2,-9.689070225E-2
2.941584625E0,-4.071635529E-3,-3.524924292E-2,-9.589959919E-2
2.951527625E0,-6.438588426E-3,-3.106552586E-2,-1.097621781E-1
2.961470625E0,-9.235165492E-3,-2.384238727E-3,-1.135973668E-1
2.971413625E0,-2.124965876E-2,1.727095742E-2,-9.466934502E-2
2.981356625E0,-3.694117360E-2,3.335175063E-2,-9.114698231E-2
2.991299625E0,-4.915301040E-2,3.599717718E-2,-8.762929738E-2
3.001242625E0,-6.110164940E-2,4.287134662E-2,-8.232704222E-2
3.011184625E0,-5.881641135E-2,4.228739250E-2,-7.747443795E-2
3.021127625E0,-6.441987120E-2,4.089330666E-2,-9.301867604E-2
3.031070625E0,-6.478992686E-2,3.229852092E-2,-9.003484190E-2
3.041013625E0,-5.971432440E-2,2.587762489E-2,-1.034074241E-1
3.050956625E0,-4.908664450E-2,2.159537539E-2,-9.730059206E-2
